dataset_name,display_name,algorithm_name,algorithm_display_name,seed,n_classes,test_samples,test_features,training_time_seconds,selected_validation_accuracy,selection_metric,grid_size,selected_search_iteration,warning_count,warnings,model_params,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,positive_label,precision_binary,recall_binary,f1_binary
breast_cancer,Breast Cancer Wisconsin,mlp_classifier,MLP,42,2,114,30,0.11446537599999829,0.9736842105263158,validation_accuracy,5,4,0,,"{""activation"": ""tanh"", ""alpha"": 0.0001, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.01, ""max_iter"": 500, ""random_state"": 42}",0.9824561403508771,0.9864864864864865,0.9761904761904762,0.9809555629802873,0.9829302987197724,0.9824561403508771,0.9823623542652152,M,1.0,0.9523809523809523,0.975609756097561
breast_cancer,Breast Cancer Wisconsin,rbf_network,RBF Network,42,2,114,30,0.06537552800000412,0.9385964912280702,validation_accuracy,5,2,0,,"{""gamma"": null, ""n_centers"": 4, ""random_state"": 42}",0.9210526315789473,0.9169729368526562,0.9126984126984127,0.9147486497714998,0.9207976506585542,0.9210526315789473,0.9208492773270941,M,0.9024390243902439,0.8809523809523809,0.891566265060241
breast_cancer,Breast Cancer Wisconsin,fuzzy_cmeans,Fuzzy C-Means,42,2,114,30,0.11182699100004356,0.9385964912280702,validation_accuracy,5,1,0,,"{""m"": 1.5, ""n_clusters"": 2, ""random_state"": 42}",0.9122807017543859,0.920940170940171,0.8908730158730158,0.9025641025641026,0.9147548358074673,0.9122807017543859,0.9106612685560054,M,0.9444444444444444,0.8095238095238095,0.8717948717948718
breast_cancer,Breast Cancer Wisconsin,sugeno_o0,Sugeno_O0,42,2,114,30,0.03468584900002725,0.9298245614035088,validation_accuracy,5,4,0,,"{""n_rules"": 8, ""random_state"": 42, ""sigma_scale"": 1.0}",0.9210526315789473,0.9444444444444444,0.8928571428571428,0.9105882352941177,0.9298245614035088,0.9210526315789473,0.9186377708978327,M,1.0,0.7857142857142857,0.88
breast_cancer,Breast Cancer Wisconsin,mlp_classifier,MLP,43,2,114,30,0.2640279949999922,0.9824561403508771,validation_accuracy,5,1,0,,"{""activation"": ""relu"", ""alpha"": 0.0001, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.001, ""max_iter"": 500, ""random_state"": 43}",0.9736842105263158,0.9666666666666667,0.9791666666666667,0.9721203228173148,0.9754385964912281,0.9736842105263158,0.9738579758273159,M,0.9333333333333333,1.0,0.9655172413793104
breast_cancer,Breast Cancer Wisconsin,rbf_network,RBF Network,43,2,114,30,0.05510348399997156,0.9298245614035088,validation_accuracy,5,3,0,,"{""gamma"": null, ""n_centers"": 8, ""random_state"": 43}",0.9385964912280702,0.9360173738723689,0.9315476190476191,0.933693394266722,0.9384352963933389,0.9385964912280702,0.9384383268099622,M,0.926829268292683,0.9047619047619048,0.9156626506024096
breast_cancer,Breast Cancer Wisconsin,fuzzy_cmeans,Fuzzy C-Means,43,2,114,30,0.09493936800004121,0.9210526315789473,validation_accuracy,5,1,0,,"{""m"": 1.5, ""n_clusters"": 2, ""random_state"": 43}",0.9298245614035088,0.9342105263157894,0.9146825396825397,0.922972972972973,0.9307479224376731,0.9298245614035088,0.9290184921763869,M,0.9473684210526315,0.8571428571428571,0.9
breast_cancer,Breast Cancer Wisconsin,sugeno_o0,Sugeno_O0,43,2,114,30,0.030245482999987416,0.9210526315789473,validation_accuracy,5,4,0,,"{""n_rules"": 8, ""random_state"": 43, ""sigma_scale"": 1.0}",0.9385964912280702,0.9475254475254475,0.9216269841269842,0.9322062696457395,0.9408287303024145,0.9385964912280702,0.9376836024305945,M,0.972972972972973,0.8571428571428571,0.9113924050632911
breast_cancer,Breast Cancer Wisconsin,mlp_classifier,MLP,44,2,114,30,0.08387301900000921,0.9824561403508771,validation_accuracy,5,5,0,,"{""activation"": ""tanh"", ""alpha"": 0.001, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.01, ""max_iter"": 500, ""random_state"": 44}",0.9649122807017544,0.9672297297297296,0.9573412698412699,0.9619111259605746,0.9651849217638692,0.9649122807017544,0.9647247085304307,M,0.975,0.9285714285714286,0.9512195121951219
breast_cancer,Breast Cancer Wisconsin,rbf_network,RBF Network,44,2,114,30,0.0390806990000101,0.9473684210526315,validation_accuracy,5,2,0,,"{""gamma"": null, ""n_centers"": 4, ""random_state"": 44}",0.9122807017543859,0.9290441176470587,0.8859126984126984,0.9013157894736843,0.9181114551083591,0.9122807017543859,0.9099722991689752,M,0.9705882352941176,0.7857142857142857,0.868421052631579
