metric_name,algorithm_name,average_rank,rank_std,average_score,score_std,n_datasets
accuracy_mean,mlp_classifier,1.0,0.0,0.8451930599740678,0.11837459894811603,4
accuracy_mean,rbf_network,2.0,0.0,0.7465365108408288,0.125041685735602,4
accuracy_mean,sugeno_o0,3.25,0.5,0.6916307020149531,0.166094003341394,4
accuracy_mean,fuzzy_cmeans,3.75,0.5,0.6510053356024325,0.18917286332640965,4
f1_macro_mean,mlp_classifier,1.0,0.0,0.8388556986413548,0.12208218343792947,4
f1_macro_mean,rbf_network,2.0,0.0,0.7052324028658385,0.15081639932547797,4
f1_macro_mean,sugeno_o0,3.0,0.0,0.5724295506203034,0.26908622588940867,4
f1_macro_mean,fuzzy_cmeans,4.0,0.0,0.45801556097612883,0.31071579475207506,4
f1_weighted_mean,mlp_classifier,1.0,0.0,0.8441763356623444,0.1194106280950488,4
f1_weighted_mean,rbf_network,2.0,0.0,0.7373165443418338,0.13118443005889954,4
f1_weighted_mean,sugeno_o0,3.25,0.5,0.6611401948405331,0.1929327375387189,4
f1_weighted_mean,fuzzy_cmeans,3.75,0.5,0.5748367263730914,0.23306148516011774,4
